authorization_country,vtm_name,samv2_amp_id,medicinal_product_name,company,amppname,cnk_pub,cti_ext,abbrevname,name_abbrev_fr,packdisplayvalue,espc_nl,espc_fr,marketingauthorisationholder,distributor,basis_substance,substance_modifier,formname,edqmform,edqmid,snomedid,abbrform_nl,abbrform_fr,manufactureddoseform,adm_doseform,roa_nl,roa_en,edqm_roa_nl,edqm_roa_id,baseofstrength,strenght_nominator_value_low_limit,strength_nominator_unit,strenght_nominator_value_high_limit,strengthunitucum,strenght_denominator_value_low_limit,strength_denominator_unit,strengthdenomunitucum,atc,ddd,ddu,dddpropackage,vmp_name,vmpgroupname
BEL,insuline degludec,8719,Tresiba inj. oploss. s.c. FlexTouch [voorgev. pen] 200 E / 1 ml,Novo Nordisk,Tresiba inj. oploss. s.c. FlexTouch [voorgev. pen] 3 x 3 ml 200 E / 1 ml,3804788,495377-01,Tresiba inj. oploss. s.c. FlexTouch [voorgev. pen] 3x3ml 200E/1ml,Tresiba sol. inj. s.c. FlexTouch [stylo prérempli] 3x3ml 200U/1ml,3,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/12/807/013&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=EU/1/12/807/013&leafletType=rcp,SAM2,SAM2,insuline degludec,,oplossing voor injectie in een voorgevulde pen,Oplossing voor injectie in een voorgevulde pen,50060200,SAM2,inj. oploss. #,sol. inj. #,?,?,subcutaan gebruik,subcutaneous use,Subcutaan gebruik,20066000,,200,1,NULL,1,1,mL,mL,A10AE06,40,U,,insuline degludec 200 E / 1 ml oplossing voor injectie in voorgevulde pen (s.c.),insuline degludec injectie 200 E / 1 ml
BEL,paracetamol,8674,Paracetamol Teva siroop susp. 200 mg / 5 ml,Teva,Paracetamol Teva siroop susp. 85 ml 200 mg / 5 ml,3500188,432415-01,Paracetamol Teva siroop susp. 85ml 200mg/5ml,Paracetamol Teva sirop susp. 85ml 200mg/5ml,NULL,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE432415&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE432415&leafletType=rcp,SAM2,SAM2,paracetamol,,"siroop, suspensie",Siroop/Suspensie voor oraal gebruik,10106000/10117000,SAM2,# siroop susp.,sirop susp. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,200,mg,NULL,mg,5,mL,mL,N02BE01,3,g,,"paracetamol 200 mg / 5 ml siroop, suspensie (or.)",paracetamol oraal 200 mg / 5 ml
BEL,omeprazol,8535,Omeprazol Teva harde maagsapresist. caps. 40 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 28 x 40 mg,2726180,427944-07,Omeprazol Teva harde maagsapresist. caps. 28x 40mg,Omeprazol Teva gél. gastro-résist. 28x 40mg,28,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427944&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427944&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,40,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 40 mg maagsapresistente capsule (or.),omeprazol oraal 40 mg
BEL,omeprazol,8535,Omeprazol Teva harde maagsapresist. caps. 40 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 56 x 40 mg,3494820,427944-11,Omeprazol Teva harde maagsapresist. caps. 56x 40mg,Omeprazol Teva gél. gastro-résist. 56x 40mg,56,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427944&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427944&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,40,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 40 mg maagsapresistente capsule (or.),omeprazol oraal 40 mg
BEL,omeprazol,8534,Omeprazol Teva harde maagsapresist. caps. 20 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 100 x 20 mg,2705747,427926-16,Omeprazol Teva harde maagsapresist. caps. 100x 20mg,Omeprazol Teva gél. gastro-résist. 100x 20mg,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 20 mg maagsapresistente capsule (or.),omeprazol oraal 20 mg
BEL,omeprazol,8534,Omeprazol Teva harde maagsapresist. caps. 20 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 14 x 20 mg,2801504,427926-03,Omeprazol Teva harde maagsapresist. caps. 14x 20mg,Omeprazol Teva gél. gastro-résist. 14x 20mg,14,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 20 mg maagsapresistente capsule (or.),omeprazol oraal 20 mg
BEL,omeprazol,8534,Omeprazol Teva harde maagsapresist. caps. 20 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 28 x 20 mg,2726164,427926-07,Omeprazol Teva harde maagsapresist. caps. 28x 20mg,Omeprazol Teva gél. gastro-résist. 28x 20mg,28,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 20 mg maagsapresistente capsule (or.),omeprazol oraal 20 mg
BEL,omeprazol,8534,Omeprazol Teva harde maagsapresist. caps. 20 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 56 x 20 mg,2726172,427926-11,Omeprazol Teva harde maagsapresist. caps. 56x 20mg,Omeprazol Teva gél. gastro-résist. 56x 20mg,56,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427926&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 20 mg maagsapresistente capsule (or.),omeprazol oraal 20 mg
BEL,omeprazol,8533,Omeprazol Teva harde maagsapresist. caps. 10 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 100 x 10 mg,2705713,427901-16,Omeprazol Teva harde maagsapresist. caps. 100x 10mg,Omeprazol Teva gél. gastro-résist. 100x 10mg,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427901&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427901&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,10,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 10 mg maagsapresistente capsule (or.),omeprazol oraal 10 mg
BEL,omeprazol,8533,Omeprazol Teva harde maagsapresist. caps. 10 mg,Teva,Omeprazol Teva harde maagsapresist. caps. 56 x 10 mg,3494812,427901-11,Omeprazol Teva harde maagsapresist. caps. 56x 10mg,Omeprazol Teva gél. gastro-résist. 56x 10mg,56,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427901&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE427901&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,10,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 10 mg maagsapresistente capsule (or.),omeprazol oraal 10 mg
BEL,paracetamol,8218,Paracetamol B. Braun inf. oploss. i.v. [flac.] 1 g / 100 ml,B. Braun,Paracetamol B. Braun inf. oploss. i.v. [flac.] 10 x 1 g / 100 ml,3029543,416184-01,Paracetamol B. Braun inf. oploss. i.v. [flac.] 10x 1g/100ml,Paracetamol B. Braun sol. perf. i.v. [flac.] 10x 1g/100ml,10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE416184&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE416184&leafletType=rcp,SAM2,SAM2,paracetamol,,oplossing voor infusie,Oplossing voor infusie,11210000,SAM2,inf. oploss. #,sol. perf. #,?,?,intraveneus gebruik,intravenous use,Intraveneus gebruik,20045000,,1,g,NULL,g,100,mL,mL,N02BE01,3,g,,paracetamol 1 g / 100 ml oplossing voor infusie (i.v.),paracetamol infusie 1 g / 100 ml
BEL,paracetamol,8217,Paracetamol B. Braun inf. oploss. i.v. [flac.] 500 mg / 50 ml,B. Braun,Paracetamol B. Braun inf. oploss. i.v. [flac.] 10 x 500 mg / 50 ml,3029535,416175-01,Paracetamol B. Braun inf. oploss. i.v. [flac.] 10x 500mg/50ml,Paracetamol B. Braun sol. perf. i.v. [flac.] 10x 500mg/50ml,10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE416175&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE416175&leafletType=rcp,SAM2,SAM2,paracetamol,,oplossing voor infusie,Oplossing voor infusie,11210000,SAM2,inf. oploss. #,sol. perf. #,?,?,intraveneus gebruik,intravenous use,Intraveneus gebruik,20045000,,500,mg,NULL,mg,50,mL,mL,N02BE01,3,g,,paracetamol 500 mg / 50 ml oplossing voor infusie (i.v.),paracetamol infusie 500 mg / 50 ml
BEL,omeprazol,8214,Acidcare harde maagsapresist. caps. 20 mg,Sandoz,Acidcare harde maagsapresist. caps. 14 x 20 mg,2976868,416001-03,Acidcare harde maagsapresist. caps. 14x 20mg,Acidcare gél. gastro-résist. 14x 20mg,14,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE416001&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE416001&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 20 mg maagsapresistente capsule (or.),omeprazol oraal 20 mg
BEL,omeprazol,8213,Acidcare harde maagsapresist. caps. 10 mg,Sandoz,Acidcare harde maagsapresist. caps. 14 x 10 mg,2976843,415983-03,Acidcare harde maagsapresist. caps. 14x 10mg,Acidcare gél. gastro-résist. 14x 10mg,14,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE415983&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE415983&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,10,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 10 mg maagsapresistente capsule (or.),omeprazol oraal 10 mg
BEL,omeprazol,8213,Acidcare harde maagsapresist. caps. 10 mg,Sandoz,Acidcare harde maagsapresist. caps. 28 x 10 mg,2976850,415983-06,Acidcare harde maagsapresist. caps. 28x 10mg,Acidcare gél. gastro-résist. 28x 10mg,28,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE415983&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE415983&leafletType=rcp,SAM2,SAM2,omeprazol,,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,10,mg,NULL,mg,NULL,NULL,NULL,A02BC01,20,mg,,omeprazol 10 mg maagsapresistente capsule (or.),omeprazol oraal 10 mg
BEL,morfine,8180,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 40 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100 x 40 mg / 1 ml,1847086,414373-03,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100x 40mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 100x 40mg/1ml,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414373&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414373&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,40,mg,NULL,mg,1,mL,mL,NULL,NULL,NULL,,morfine hydrochloride 40 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 40 mg / 1 ml
BEL,morfine,8180,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 40 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 x 40 mg / 1 ml,298596,414373-02,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10x 40mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 10x 40mg/1ml,10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414373&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414373&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,40,mg,NULL,mg,1,mL,mL,N02AA01,30,mg,,morfine hydrochloride 40 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 40 mg / 1 ml
BEL,morfine,8179,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 30 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100 x 30 mg / 1 ml,1847078,414364-03,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100x 30mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 100x 30mg/1ml,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414364&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414364&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,30,mg,NULL,mg,1,mL,mL,NULL,NULL,NULL,,morfine hydrochloride 30 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 30 mg / 1 ml
BEL,morfine,8179,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 30 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 x 30 mg / 1 ml,298588,414364-02,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10x 30mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 10x 30mg/1ml,10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414364&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414364&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,30,mg,NULL,mg,1,mL,mL,N02AA01,30,mg,,morfine hydrochloride 30 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 30 mg / 1 ml
BEL,morfine,8178,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 20 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100 x 20 mg / 1 ml,1847060,414355-03,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100x 20mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 100x 20mg/1ml,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414355&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414355&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,20,mg,NULL,mg,1,mL,mL,NULL,NULL,NULL,,morfine hydrochloride 20 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 20 mg / 1 ml
BEL,morfine,8178,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 20 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 x 20 mg / 1 ml,2446680,414355-02,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10x 20mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 10x 20mg/1ml,10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414355&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414355&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,20,mg,NULL,mg,1,mL,mL,N02AA01,30,mg,,morfine hydrochloride 20 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 20 mg / 1 ml
BEL,morfine,8177,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100 x 10 mg / 1 ml,677518,414346-03,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 100x 10mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 100x 10mg/1ml,100,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414346&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414346&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,10,mg,NULL,mg,1,mL,mL,NULL,NULL,NULL,,morfine hydrochloride 10 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 10 mg / 1 ml
BEL,morfine,8177,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 mg / 1 ml,Sterop,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 x 10 mg / 1 ml,670828,414346-04,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10x 10mg/1ml,Morphine HCl Sterop sol. inj./perf. i.m./i.v./s.c./i.théc./p.dural [amp.] 10x 10mg/1ml,10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414346&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414346&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,10,mg,NULL,mg,1,mL,mL,N02AA01,30,mg,,morfine hydrochloride 10 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 10 mg / 1 ml
BEL,morfine,8177,Morphine HCl Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 mg / 1 ml,Sterop,Morphine HCL Sterop inj./inf. oploss. i.m./i.v./s.c./i.thec./epidur. [amp.] 10 x 10 mg / 1 ml (UD),2446649,414346-02,Morphine HCL Sterop inj./inf. oploss. [amp.] 10x 10mg/1ml (UD),Morphine HCL Sterop sol. inj./perf. [amp.] 10x 10mg/1ml (UD),10,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414346&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE414346&leafletType=rcp,SAM2,SAM2,morfine,,oplossing voor injectie/infusie,Oplossing voor injectie/infusie,50060000,SAM2,inj./inf. oploss. #,sol. inj./perf. #,?,?,epiduraal gebruik/intramusculair gebruik/intrathecaal gebruik/intraveneus gebruik/subcutaan gebruik,epidural use/intramuscular use/intrathecal use/intravenous use/subcutaneous use,Epiduraal gebruik/Intramusculair gebruik/Intrathecaal gebruik/Intraveneus gebruik/Subcutaan gebruik,20009000/20035000/20042000/20045000/20066000,,10,mg,NULL,mg,1,mL,mL,NULL,NULL,NULL,,morfine hydrochloride 10 mg / 1 ml oplossing voor injectie/infusie (i.m./i.v./s.c./i.thec./epidur.),morfine injectie/infusie 10 mg / 1 ml
BEL,ibuprofen,8095,Ibuprofen EG siroop susp. 200 mg / 5 ml,EG,Ibuprofen EG siroop susp. 100 ml 200 mg / 5 ml,2883031,409726-01,Ibuprofen EG siroop susp. 100ml 200mg/5ml,Ibuprofen EG sirop susp. 100ml 200mg/5ml,NULL,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE409726&leafletType=skp,https://bijsluiters.fagg-afmps.be/registrationSearchServlet?key=BE409726&leafletType=rcp,SAM2,SAM2,ibuprofen,,"siroop, suspensie",Siroop/Suspensie voor oraal gebruik,10106000/10117000,SAM2,# siroop susp.,sirop susp. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,200,mg,NULL,mg,5,mL,mL,M01AE01,1200,mg,,ibuprofen 200 mg / 5 ml suspensie (or.),ibuprofen oraal 200 mg / 5 ml
BEL,amlodipine,7976,Amlodipin Sandoz (Impexeco) tabl. (deelb.) Besilaat 5 mg,Impexeco,Amlodipin Sandoz (Impexeco) tabl. (deelb.) Besilaat 100 x 5 mg,2926582,404424-01,Amlodipin Sandoz (Impexeco) tabl. (deelb.) Besilaat 100x 5mg,Amlodipin Sandoz (Impexeco) compr. (séc.) Besilaat 100x 5mg,100,NULL,NULL,SAM2,SAM2,amlodipine,amlodipine besilaat,tablet,Tablet,10219000,SAM2,# tabl.,compr. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,5,mg,NULL,mg,NULL,NULL,NULL,C08CA01,5,mg,,amlodipine 5 mg tablet (or.),amlodipine oraal 5 mg
