Priorità,Country,Problema,Codice Gruppo Equivalenza,Generici_Prontuario_NewPrezziRi.Codice gruppo equivalenza,ATC,"Codice AIC - LocalMppid",Principio Attivo,Generici_Prontuario_NewPrezziRi.Principio attivo,Metri cubi ossigeno ,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Generici_Prontuario_NewPrezziRi.Farmaco,Medicinal Product Name,Titolare AIC,Generici_Prontuario_NewPrezziRi.Ditta,Generici_Prontuario_NewPrezziRi.Confezione di riferimento,Generici_Prontuario_NewPrezziRi.Confezione,Package 1 (outer container) (EDQM Code),Package 1 (outer container) (EDQM Label),Dose form (EDQM Code),Dose form (EDQM Label),Unit of Presentation 1 (EDQM Code),Unit of Presentation 1 (EDQM Label),Unit of Presentation 1 (EDQM Label),Package Size,Unit of Measure 1 (UCUM),Package 2 (inner container) (EDQM Code),Package 2 (inner container) (EDQM Label),Unit of Presentation 2 (EDQM Code),Unit of Presentation 2 (EDQM Label),Quantity 2,Unit of Measure 2 (UCUM),Route of Administration (EDQM Code),Route of Administration (EDQM Label),Substance 1 (SMS code),Substance 1 (SMS Label),Active Ingredient 1 Numerator Quantity,Active Ingredient 1 Numerator Unit of Mesurement (UCUM),Active Ingredient 1 Denominator Quantity,Active Ingredient 1 Denominator Unit of Mesurement (UCUM),Substance 2 (SMS code),Substance 2 (SMS Label),Active Ingredient 2 Numerator Quantity,Active Ingredient 2 Numerator Unit of Mesurement (UCUM),Active Ingredient 2 Denominator Quantity,Active Ingredient 2 Denominator Unit of Mesurement (UCUM),Active Ingredient 3 (SMS code),Active Ingredient 3 (SMS Label),Active Ingredient 3 Numerator Quantity,Active Ingredient 3 Numerator Unit of Mesurement (UCUM),Active Ingredient 3 Denominator Quantity,Active Ingredient 3 Denominator Unit of Mesurement (UCUM),X=in lista di trasparenza Aifa 15/12/2021,Solo in lista di Regione:,Generici_Prontuario_NewPrezziRi.Nota
1,Italy,,33A,33A,M04AA01,43337029,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ALLOPURINOLO*30 cpr 300 mg,ALLOPURINOLO DOC GENERICI,ALLOPURINOLO DOC GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSA"" 30 COMPRESSE IN BLISTER PVC/VDC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33A,33A,M04AA01,22441048,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ALLOPURINOLO*30 cpr 300 mg,ALLOPURINOLO MOLTENI,ALLOPURINOLO MOLTENI,MOLTENI & C. F.LLI ALITTI SpA,L. MOLTENI E C. DEI F.LLI ALITTI SOCIETA' DI ESERCIZIO S.P.A.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 30 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33A,33A,M04AA01,45054057,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ALLOPURINOLO*30 cpr 300 mg,ALLOPURINOLO MYLAN,ALLOPURINOLO MYLAN,MYLAN SpA,MYLAN S.P.A.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 30 COMPRESSE IN BLISTER PVDC/PVC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33A,33A,M04AA01,44508024,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ALLOPURINOLO*30 cpr 300 mg,ALLOPURINOLO PENSA,ALLOPURINOLO PENSA,PENSA PHARMA SpA,PENSA PHARMA S.P.A.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 30 COMPRESSE IN BLISTER PVC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33A,33A,M04AA01,39060292,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ALLOPURINOLO*30 cpr 300 mg,ALLOPURINOLO SANDOZ,ALLOPURINOLO SANDOZ,SANDOZ SpA,SANDOZ S.P.A.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 30 COMPRESSE IN BLISTER PVC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33A,33A,M04AA01,40180147,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ALLOPURINOLO*30 cpr 300 mg,ALLOPURINOLO TEVA ITALIA,ALLOPURINOLO TEVA ITALIA,TEVA ITALIA Srl,TEVA ITALIA S.R.L.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 30 COMPRESSE IN BLISTER PVC/PVDC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33A,33A,M04AA01,21259027,Allopurinolo,Allopurinolo,,ALLOPURINOLO 300MG 30 UNITA' USO ORALE,ZYLORIC*30 cpr div 300 mg,ZYLORIC,ZYLORIC,TEOFARMA Srl,TEOFARMA S.R.L.,30 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 30 COMPRESSE DIVISIBILI",30009000,Box,10219000,Tablet,15054000,tablet,tablet,30,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,46453041,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO ACCORD,ALLOPURINOLO ACCORD,ACCORD HEALTHCARE SLU,ACCORD HEALTHCARE SLU,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE IN BLISTER PVC-AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,43337017,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO DOC GENERICI,ALLOPURINOLO DOC GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSA"" 50 COMPRESSE IN BLISTER PVC/VDC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,22441036,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO MOLTENI,ALLOPURINOLO MOLTENI,MOLTENI & C. F.LLI ALITTI SpA,L. MOLTENI E C. DEI F.LLI ALITTI SOCIETA' DI ESERCIZIO S.P.A.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,45054020,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO MYLAN,ALLOPURINOLO MYLAN,MYLAN SpA,MYLAN S.P.A.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE IN BLISTER PVDC/PVC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,44508012,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO PENSA,ALLOPURINOLO PENSA,PENSA PHARMA SpA,PENSA PHARMA S.P.A.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE IN BLISTER PVC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,39060076,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO SANDOZ,ALLOPURINOLO SANDOZ,SANDOZ SpA,SANDOZ S.P.A.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE IN BLISTER PVC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,40180059,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ALLOPURINOLO*50 cpr 100 mg,ALLOPURINOLO TEVA ITALIA,ALLOPURINOLO TEVA ITALIA,TEVA ITALIA Srl,TEVA ITALIA S.R.L.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE IN BLISTER PVC/PVDC/AL",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,33B,33B,M04AA01,21259015,Allopurinolo,Allopurinolo,,ALLOPURINOLO 100MG 50 UNITA' USO ORALE,ZYLORIC*50 cpr div 100 mg,ZYLORIC,ZYLORIC,TEOFARMA Srl,TEOFARMA S.R.L.,50 UNITA' 100 MG - USO ORALE,"""100 MG COMPRESSE"" 50 COMPRESSE DIVISIBILI",30009000,Box,10219000,Tablet,15054000,tablet,tablet,50,{Tablet},,,,,,,20053000,Oral Use,100000091907,ALLOPURINOL,100,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35A,35A,N06AB03,33555018,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 12 UNITA' USO ORALE,FLUOXETINA*12 cps 20 mg,FLUOXETINA DOC GENERICI,FLUOXETINA DOC GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,12 UNITA' 20 MG - USO ORALE,12 CAPSULE RIGIDE 20 MG,30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,12,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,Farmaco con prezzo uguale al prezzo di riferimento,,
1,Italy,,35A,35A,N06AB03,34207011,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 12 UNITA' USO ORALE,FLUOXETINA*12 cps 20 mg,FLUOXETINA EG,FLUOXETINA EG,EG SpA,EG S.P.A.,12 UNITA' 20 MG - USO ORALE,20 MG 12 CAPSULE RIGIDE IN BLISTER,30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,12,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,Farmaco con prezzo uguale al prezzo di riferimento,,
1,Italy,,35A,35A,N06AB03,34667028,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 12 UNITA' USO ORALE,FLUOXETINA*12 cpr orodispers 20 mg,FLUOXETINA EUROGENERICI,FLUOXETINA EUROGENERICI,EG SpA,EG S.P.A.,12 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSE SOLUBILI"" 12 COMPRESSE",30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,12,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,Farmaco con prezzo uguale al prezzo di riferimento,,
1,Italy,,35A,35A,N06AB03,34850026,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 12 UNITA' USO ORALE,FLUOXETINA*12 cpr solub 20 mg,FLUOXETINA RATIOPHARM,FLUOXETINA RATIOPHARM,RATIOPHARM GMBH,RATIOPHARM GMBH,12 UNITA' 20 MG - USO ORALE,12 COMPRESSE SOLUBILI DA 20 MG IN BLISTER (PVC/PE/PVDC),30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,12,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,Farmaco con prezzo uguale al prezzo di riferimento,,
3,Italy,,35B,35B,N06AB03,25959026,Fluoxetina,Fluoxetina,,"FLUOXETINA 0,4% 60ML USO ORALE",FLUOXEREN*orale soluz 60 ml 20 mg/5 ml,FLUOXEREN,FLUOXEREN,A.MENARINI IND.FARM.RIUN.Srl,A.MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.,"60 ML 0,4% - USO ORALE","""20 MG/5 ML SOLUZIONE ORALE"" 1 FLACONE 60 ML",30009000,Box,,,,,,,,,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,,mg,1,1,,,,,,,,,,,,,X,,
3,Italy,,35B,35B,N06AB03,33555020,Fluoxetina,Fluoxetina,,"FLUOXETINA 0,4% 60ML USO ORALE",FLUOXETINA*orale soluz 60 ml 20 mg/5 ml,FLUOXETINA DOC GENERICI,FLUOXETINA DOC GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,"60 ML 0,4% - USO ORALE","""20 MG/5 ML SOLUZIONE ORALE"" 1 FLACONE 60 ML",30009000,Box,,,,,,,,,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,,mg,1,1,,,,,,,,,,,,,X,,
3,Italy,,35B,35B,N06AB03,25970029,Fluoxetina,Fluoxetina,,"FLUOXETINA 0,4% 60ML USO ORALE",PROZAC*orale soluz 60 ml 20 mg/5 ml,PROZAC,PROZAC,ELI LILLY ITALIA SpA,ELI LILLY ITALIA S.P.A.,"60 ML 0,4% - USO ORALE","""20 MG/5 ML SOLUZIONE ORALE"" 1 FLACONE 60 ML",30009000,Box,,,,,,,,,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,33162037,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,DIESAN*28 cps 20 mg,DIESAN,DIESAN,C.T. LAB.FARMACEUTICO Srl,LABORATORIO FARMACEUTICO C.T. S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,25959040,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXEREN*28 cps 20 mg,FLUOXEREN,FLUOXEREN,A.MENARINI IND.FARM.RIUN.Srl,A.MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE RIGIDE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,25959053,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXEREN*28 cpr dispers 20 mg,FLUOXEREN,FLUOXEREN,A.MENARINI IND.FARM.RIUN.Srl,A.MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSE DISPERSIBILI"" 28 COMPRESSE",30009000,Box,10121000,Dispersible tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,41111042,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA ACCORD,FLUOXETINA ACCORD,ACCORD HEALTHCARE SLU,ACCORD HEALTHCARE SLU,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE RIGIDE IN BLISTER PVC/AL",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,35033024,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA ALMUS,FLUOXETINA ALMUS,ALMUS Srl,ALMUS S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE"" 28 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,33555032,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA DOC  GENERICI,FLUOXETINA DOC  GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34207047,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA EG,FLUOXETINA EG,EG SpA,EG S.P.A.,28 UNITA' 20 MG - USO ORALE,20 MG 28 CAPSULE,30009000,Box,12100,Capsule,15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34667042,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cpr orodispers 20 mg,FLUOXETINA EUROGENERICI,FLUOXETINA EUROGENERICI,EG SpA,EG S.P.A.,28 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSE SOLUBILI"" 28 COMPRESSE",30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34917043,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cpr solub 20 mg,FLUOXETINA FIDIA,FLUOXETINA FIDIA,FIDIA FARMACEUTICI SpA,FIDIA FARMACEUTICI S.P.A.,28 UNITA' 20 MG - USO ORALE,28 COMPRESSE SOLUBILI 20 MG,30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34917056,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA FIDIA,FLUOXETINA FIDIA,FIDIA FARMACEUTICI SpA,FIDIA FARMACEUTICI S.P.A.,28 UNITA' 20 MG - USO ORALE,28 CAPSULE RIGIDE 20 MG,30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,37053105,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cpr dispers 20 mg,FLUOXETINA GENERICS,FLUOXETINA GENERICS,MYLAN SpA,MYLAN S.P.A.,28 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSA DISPERSIBILE"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL",30009000,Box,10121000,Dispersible tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,35301136,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA MYLAN GENERICS,FLUOXETINA MYLAN GENERICS,MYLAN SpA,MYLAN S.P.A.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34850053,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cpr solub 20 mg,FLUOXETINA RATIOPHARM,FLUOXETINA RATIOPHARM,RATIOPHARM GMBH,RATIOPHARM GMBH,28 UNITA' 20 MG - USO ORALE,28 COMPRESSE SOLUBILI DA 20 MG IN BLISTER (PVC/PE/PVDC),30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,33569056,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,FLUOXETINA*28 cps 20 mg,FLUOXETINA SANDOZ GMBH,FLUOXETINA SANDOZ GMBH,SANDOZ GMBH,SANDOZ GMBH,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34897052,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,PROFELIX*28 cps 20 mg,PROFELIX,PROFELIX,S.F. GROUP Srl,S.F. GROUP S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE RIGIDE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34897064,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,PROFELIX*28 cpr solub 20 mg,PROFELIX,PROFELIX,S.F. GROUP Srl,S.F. GROUP S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSE SOLUBILI"" 28 COMPRESSE SOLUBILI",30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,25970043,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,PROZAC*28 cps 20 mg,PROZAC,PROZAC,ELI LILLY ITALIA SpA,ELI LILLY ITALIA S.P.A.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE PER USO ORALE"" 28 CAPSULE RIGIDE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,39430018,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,PROZAC*28 cps 20 mg,PROZAC,PROZAC,BB FARMA Srl,BB FARMA S.R.L.,28 UNITA' 20 MG - USO ORALE,"""20 MG CAPSULE RIGIDE"" 28 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,28,{Capsule},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,25970056,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,PROZAC*28 cpr dispers 20 mg,PROZAC,PROZAC,ELI LILLY ITALIA SpA,ELI LILLY ITALIA S.P.A.,28 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSE SOLUBILI PER USO ORALE"" 28 COMPRESSE SOLUBILI",30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,35D,35D,N06AB03,34974042,Fluoxetina,Fluoxetina,,FLUOXETINA 20MG 28 UNITA' USO ORALE,XEREDIEN*28 cpr dispers 20 mg,XEREDIEN,XEREDIEN,VALEAS IND.CHIM.FARMAC. SpA,VALEAS IND.CHIM.FARM. S.P.A.,28 UNITA' 20 MG - USO ORALE,"""20 MG COMPRESSE SOLUBILI"" 28 CPR",30009000,Box,10120000,Soluble tablet,15054000,tablet,tablet,28,{Tablet},,,,,,,20053000,Oral Use,100000092819,FLUOXETINE,20,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,36E,,N07AX01,29526047,Pilocarpina,,,PILOCARPINA 5MG 84 UNITA' USO ORALE,SALAGEN*6x14 cpr riv 5 mg,SALAGEN,SALAGEN,MERUS LABS LUXCO II SARL,,,,30009000,Box,10220000,Coated tablet,15054000,tablet,tablet,84,{Tablet},,,,,,,20053000,Oral Use,100000085284,PILOCARPINE,5,mg,1,1,,,,,,,,,,,,,,,
1,Italy,,37E,,C07AA06,24222034,Timololo,,,TIMOLOLO 10MG 40 UNITA' USO ORALE,BLOCADREN*40 cpr 10 mg,BLOCADREN,BLOCADREN,SIT LABORATORIO FARMAC. Srl,,,,30009000,Box,10219000,Tablet,15054000,tablet,tablet,40,{Tablet},,,,,,,20053000,Oral Use,100000089192,TIMOLOL,10,mg,1,1,,,,,,,,,,,,,,,
