code,term,definition,comment
10539000,Pour-on emulsion,Liquid preparation consisting of an emulsion intended for pour-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Pour-on emulsions are applied in volumes that are usually greater than 5 mL.,
10539250,Scalp solution,,Term rejected. 'Cutaneous use' includes application to the scalp.
10539500,Scrub,,Term rejected. Disinfectant solutions such as used those used for scrubbing the skin are considered to be cutaneous solutions.
10540000,Spot-on solution,Liquid preparation consisting of a solution intended for spot-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Spot-on-solutions are applied in volumes that are usually less than 10 mL.,
10541000,Spot-on suspension,Liquid preparation consisting of a suspension intended for spot-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Spot-on-suspensions are applied in volumes that are usually less than 10 mL.,
10542000,Spot-on emulsion,Liquid preparation consisting of an emulsion intended for spot-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Spot-on-emulsions are applied in volumes that are usually less than 10 mL.,
10543000,Teat dip solution,"Liquid preparation consisting of a solution intended for teat use. The teats of an animal are dipped pre- and, where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",
10544000,Teat dip suspension,"Liquid preparation consisting of a suspension intended for teat use. The teats of an animal are dipped pre- and, where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",
10545000,Teat dip emulsion,"Liquid preparation consisting of an emulsion intended for teat use. The teats of an animal are dipped pre- and, where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",
10546000,Teat spray solution,"Liquid preparation consisting of a solution intended to be sprayed onto the teats of an animal pre-, and where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",
10546250,Transdermal gel,"Semi-solid single-dose or multidose preparation consisting of a single-phase basis of liquids gelled by a suitable gelling agent. Active substance(s) is (are) dissolved or dispersed in the basis, which may be hydrophilic or hydrophobic. Transdermal gels are intended for transdermal use.",
10546400,Transdermal solution,"Liquid single-dose or multidose preparation consisting of a solution intended for transdermal use. The term 'Transdermal solution' is used only when more-specific terms such as 'Pour-on solution', 'Solution for iontophoresis', 'Spot-on solution' and 'Transdermal spray, solution' do not apply.",
10546500,"Transdermal spray, solution","Liquid, usually multidose preparation consisting of a solution in a pressurised container with a spray valve or a container equipped with a spray pump, intended for transdermal use.",
10547000,Transdermal system,"Assembly of components intended for transdermal delivery driven by external forces (e.g. electric current, chemical reaction,...). Transdermal patch is excluded.",
10548000,Solution for skin-prick test,Liquid sterile preparation consisting of a solution containing an allergen product intended for diagnostic use in a skin-prick test.,
10549000,Solution for skin-scratch test,Liquid sterile preparation consisting of a solution containing an allergen product intended for diagnostic use in a skin-scratch test.,
10550000,Plaster for provocation test,Solid flexible preparation containing an allergen product intended for provocation testing by application to the skin.,
10600500,Concentrate for solution for intraocular irrigation,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a solution for intraocular irrigation.,
10601000,Eye cream,Semi-solid sterile single-dose or multidose preparation consisting of a cream intended for ocular use. Eye creams may be presented in collapsible tubes fitted with a cannula and having a content of not more than 5 g of the preparation. Eye creams may also be presented in suitably designed single-dose containers. The containers or nozzles of tubes are of a shape that facilitates administration without contamination.,
10602000,Eye gel,Semi-solid sterile single-dose or multidose preparation consisting of a gel intended for ocular use. Eye gels may be presented in collapsible tubes fitted with a cannula and having a content of not more than 5 g of the preparation. Eye gels may also be presented in suitably designed single-dose containers. The containers or nozzles of tubes are of a shape that facilitates administration without contamination.,
10603000,Eye ointment,Semi-solid sterile single-dose or multidose preparation consisting of an ointment intended for ocular use. Eye ointments may be presented in collapsible tubes fitted with a cannula and having a content of not more than 5 g of the preparation. Eye ointments may also be presented in suitably designed single-dose containers. The containers or nozzles of tubes are of a shape that facilitates administration without contamination.,
10604000,"Eye drops, solution",Liquid sterile single-dose or multidose preparation consisting of an aqueous or oily solution intended for ocular use. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,
10604500,"Eye drops, emulsion",Liquid sterile single-dose or multidose preparation consisting of an emulsion intended for ocular use. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,
10605000,"Eye drops, suspension",Liquid sterile single-dose or multidose preparation consisting of an aqueous or oily suspension intended for ocular use. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,
10608000,"Eye drops, solvent for reconstitution","Liquid preparation consisting of a sterile solvent containing no active substances, intended for reconstitution of a usually freeze-dried powder for eye drops.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Eye drops, powder and solvent for solution'. In such cases, see instead 'Solvent for...'."
10609000,"Eye drops, prolonged-release",Liquid sterile single-dose or multidose preparation intended for ocular use. The active substance is released over an extended period of time.,
10610000,Eye lotion,Liquid sterile single-dose or multidose preparation consisting of an aqueous solution intended for washing or bathing the eye.,
10611000,"Eye lotion, solvent for reconstitution","Liquid preparation consisting of a sterile solvent containing no active substances, intended for reconstitution of a usually freeze-dried powder for eye lotion.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Powder and solvent for eye lotion'. In such cases, see instead 'Solvent for...'."
10612000,Ophthalmic insert,"Solid sterile preparation of suitable size and shape, designed to be inserted in the conjunctival sac to produce a local or ocular effect by the release of active substance(s) over a determined period of time. Ophthalmic inserts generally consist of a reservoir of active substance(s) embedded in a matrix or bounded by a rate-controlling membrane. They are presented individually in sterile containers.",
10613000,Ophthalmic strip,Solid sterile single-dose preparation consisting of a strip made of a suitable material usually impregnated with active substance(s) intended for use on the eyeball.,
10701000,Ear cream,"Semi-solid single-dose or multidose preparation consisting of a cream intended for application to the external auditory meatus, if necessary by means of a tampon impregnated with the preparation.",
10702000,Ear gel,"Semi-solid single-dose or multidose preparation consisting of a gel intended for application to the external auditory meatus, if necessary by means of a tampon impregnated with the preparation.",
10703000,Ear ointment,"Semi-solid single-dose or multidose preparation consisting of an ointment intended for application to the external auditory meatus, if necessary by means of a tampon impregnated with the preparation.",
10704000,"Ear drops, solution","Liquid single-dose or multidose preparation consisting of an aqueous or oily solution intended for application to the external auditory meatus. Multidose containers may be dropper containers or containers provided with a dropper applicator, or the dropper may be supplied separately. Drops are not necessarily administered dropwise, but may also be administered as a small volume.",
10705000,"Ear drops, suspension","Liquid single-dose or multidose preparation consisting of an aqueous or oily suspension intended for application to the external auditory meatus. Multidose containers may be dropper containers or containers provided with a dropper applicator, or the dropper may be supplied separately. Drops are not necessarily administered dropwise, but may also be administered as a small volume.",
10706000,"Ear drops, emulsion","Liquid single-dose or multidose preparation consisting of an emulsion intended for application to the external auditory meatus. Multidose containers may be dropper containers or containers provided with a dropper applicator, or the dropper may be supplied separately. Drops are not necessarily administered dropwise, but may also be administered as a small volume.",
10708000,Ear powder,"Solid, usually multidose preparation consisting of one or more powders consisting of (a) solid active substance(s) intended for application to the external auditory meatus. Ear powders are presented in containers fitted with a suitable applicator or device for insufflation.",
10709000,"Ear spray, solution","Liquid, usually multidose preparation consisting of a solution intended for application to the external auditory meatus by spraying to obtain a local effect. Ear sprays are presented in containers with a spray pump or in pressurised containers fitted with a spray valve.",
10710000,"Ear spray, suspension","Liquid, usually multidose preparation consisting of a suspension intended for application to the external auditory meatus by spraying to obtain a local effect. Ear sprays are presented in containers with a spray pump or in pressurised containers fitted with a spray valve.",
10711000,"Ear spray, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for application to the external auditory meatus by spraying to obtain local effect. Ear sprays are presented in containers with a spray pump or in pressurised containers fitted with a spray valve.",
10712000,"Ear wash, solution",Liquid single-dose or multidose preparation consisting usually of an aqueous solution with a pH within physiological limits. Ear washes are intended to clean the external auditory meatus.,
10713000,"Ear wash, emulsion",Liquid single-dose or multidose preparation consisting usually of an oil-in-water emulsion with a pH within physiological limits. Ear washes are intended to clean the external auditory meatus.,
10714000,Ear tampon,"Solid single-dose preparation intended to be inserted into the external auditory meatus for a limited period of time, consisting of a suitable material impregnated with active substance(s).",
10715000,Ear stick,Solid single-dose preparation of usually conical shape intended to be inserted in the external auditory meatus where it melts or dissolves.,
10801000,Nasal cream,"Semi-solid single-dose or multidose preparation consisting of a cream, usually of oil-in-water type, intended for nasal use, usually to obtain a local effect. Nasal creams are usually presented in tubes fitted with a nasal applicator.",
10802000,Nasal gel,"Semi-solid single-dose or multidose preparation consisting of usually a hydrophilic gel, intended for nasal use, usually to obtain a local effect. Nasal gels are usually presented in tubes fitted with a nasal applicator.",
10803000,Nasal ointment,"Semi-solid single-dose or multidose preparation consisting of an ointment, intended for nasal use, usually to obtain a local effect. Nasal ointments are usually presented in tubes fitted with a nasal applicator.",
10804000,"Nasal drops, solution",Liquid single-dose or multidose preparation consisting of a solution intended for nasal use by means of a suitable applicator.,
10805000,"Nasal drops, suspension",Liquid single-dose or multidose preparation consisting of a suspension intended for nasal use by means of a suitable applicator.,
10806000,"Nasal drops, emulsion",Liquid single-dose or multidose preparation consisting of an emulsion intended for nasal use by means of a suitable applicator.,
10807000,Nasal powder,"Solid, usually multidose preparation consisting of one or more powders of solid active substance(s) intended for nasal use by insufflation into the nasal cavity.",
10808000,"Nasal spray, solution","Liquid single-dose or multidose preparation consisting of a solution in a container with or without a metering dose valve or in a container with a spray pump or equivalent device to create a spray, intended for nasal use.",
10809000,"Nasal spray, suspension","Liquid single-dose or multidose preparation consisting of a suspension in a container with or without a metering dose valve or in a container with a spray pump or equivalent device to create a spray, intended for nasal use.",
10810000,"Nasal spray, emulsion","Liquid single-dose or multidose preparation consisting of an emulsion in a container with or without a metering dose valve or in a container with a spray pump or equivalent device to create a spray, intended for nasal use.",
10811000,Nasal wash,Liquid single-dose or multidose preparation consisting of usually an aqueous isotonic solution intended for cleansing the nasal cavities.,
10812000,Nasal stick,"Solid single-dose preparation, usually rod-shaped or conical, intended for nasal use, usually to obtain a local effect.",
10900500,Intravaginal ring,,Term rejected.
10901000,Vaginal cream,"Semi-solid preparation consisting of a cream usually presented in a single-dose container provided with a suitable applicator, intended for vaginal use to obtain a local effect.",
10902000,Vaginal gel,"Semi-solid preparation consisting of a gel usually presented in a single-dose container provided with a suitable applicator, intended for vaginal use to obtain a local effect.",
10903000,Vaginal ointment,"Semi-solid preparation consisting of an ointment usually presented in a single-dose container provided with a suitable applicator, intended for vaginal use to obtain a local effect.",
10904000,Vaginal foam,"Liquid preparation, usually presented in a pressurised container provided with an applicator suitable for delivery to the vagina of foam containing large volumes of gas dispersed in a liquid containing active substance(s). Vaginal foams are intended for vaginal use, for example for contraception.",
10905000,Vaginal solution,Liquid preparation consisting of a solution intended for vaginal use by means of a suitable applicator in order to obtain a local effect.,
10906000,Vaginal suspension,Liquid preparation consisting of a suspension intended for vaginal use by means of a suitable applicator in order to obtain a local effect.,
10907000,Vaginal emulsion,Liquid preparation consisting of an emulsion intended for vaginal use by means of a suitable applicator in order to obtain a local effect.,
10908000,Tablet for vaginal solution,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid to obtain a vaginal solution.",
10909000,Pessary,"Solid, single-dose preparation usually prepared by moulding, of various shapes, usually ovoid, with a volume and consistency suitable for insertion into the vagina to obtain a local effect. It contains one or more active substances dispersed or dissolved in a suitable basis that may be soluble or dispersible in water or may melt at body temperature.",
10910000,"Vaginal capsule, hard","Solid single-dose preparation consisting of a hard capsule of a size and shape suited for vaginal use, containing a liquid or semi-solid formulation, intended for a local effect.",
10911000,"Vaginal capsule, soft","Solid single-dose preparation consisting of a soft capsule of a size and shape suited for vaginal use, containing a liquid or semi-solid formulation, intended for a local effect.",
10912000,Vaginal tablet,"Solid single-dose preparation consisting of a tablet, usually uncoated or film-coated, intended for administration to the vagina to obtain a local effect. Vaginal tablets are usually of larger size and a different shape from tablets intended for oral administration.",
10913000,Effervescent vaginal tablet,Solid single-dose preparation consisting of a vaginal tablet usually containing acid substances and carbonates or hydrogen carbonates that react rapidly in the presence of aqueous liquid to release carbon dioxide.,
10914000,Medicated vaginal tampon,Solid single-dose preparation consisting of a suitable material impregnated with active substance(s) intended to be inserted in the vagina for a limited period of time.,
10915000,Vaginal delivery system,Drug delivery system intended to be inserted in the vagina where it releases its contents over an extended period of time. Medicated sponge and medicated vaginal tampon are excluded.,
10916000,Vaginal sponge,,Use discouraged.
11001000,Rectal cream,"Semi-solid preparation consisting of a cream usually presented in a single-dose container provided with a suitable applicator, intended for rectal use to obtain a local effect.",
11002000,Rectal gel,"Semi-solid preparation consisting of a gel usually presented in a single-dose container provided with a suitable applicator, intended for rectal use to obtain a local effect.",
11003000,Rectal ointment,"Semi-solid preparation consisting of an ointment usually presented in a single-dose container provided with a suitable applicator, intended for rectal use to obtain a local effect.",
11004000,Rectal foam,"Liquid preparation, usually presented in a pressurised container provided with an applicator suitable for delivery to the rectum of foam containing large volumes of gas dispersed in a liquid containing the active substance. Rectal foams are intended for a local effect.",
11005000,Rectal solution,Liquid preparation consisting of a solution intended for rectal use or for diagnostic purposes. Rectal solutions are usually presented in containers with a volume in the range of 2.5 mL to 2000 mL. The container is fitted with an applicator or an applicator is provided separately.,
11006000,Rectal suspension,Liquid preparation consisting of a suspension intended for rectal use or for diagnostic purposes. Rectal suspension are usually presented in containers with a volume in the range of 2.5 mL to 2000 mL. The container is fitted with an applicator or an applicator is provided separately.,
11007000,Rectal emulsion,Liquid preparation consisting of an emulsion intended for rectal use or for diagnostic purposes. Rectal emulsions are usually presented in containers with a volume in the range of 2.5 mL to 2000 mL. The container is fitted with an applicator or an applicator is provided separately.,
11008000,Concentrate for rectal solution,Liquid preparation intended to be diluted in the specified liquid to obtain a rectal solution.,
11009000,Powder for rectal solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a rectal solution.",
11010000,Powder for rectal suspension,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a rectal suspension.",
11011000,Tablet for rectal solution,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid to obtain a rectal solution.",
11012000,Tablet for rectal suspension,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dispersed in the specified liquid to obtain a rectal suspension.",
11013000,Suppository,"Solid single-dose preparation of a shape, size and consistency suitable for rectal use, containing active substance(s) dispersed or dissolved in a suitable basis that may be soluble or dispersible in water or may melt at body temperature.",
11014000,Rectal capsule,"Solid single-dose preparation consisting of a soft capsule of elongated shape suitable for rectal use, containing a liquid or semi-solid formulation, and which may have a lubricating coating.",
11015000,Rectal tampon,Solid single-dose preparation consisting of a suitable material impregnated with active substance(s) intended to be inserted in the rectum for a limited period of time usually for a local effect.,
11100500,Aerosol,,"Term rejected. This is a very broad term that can apply to any dispersion of solid or liquid particles in air, and is inappropriate as a Standard Term to describe a pharmaceutical product. Where the intention is to refer to a pressurised preparation for inhalation presented in a metered-dose inhaler, use the appropriate existing term such as 'Pressurised inhalation, emulsion', 'Pressurised inhalation, solution' or 'Pressurised inhalation, suspension'."
11101000,Nebuliser solution,Liquid preparation consisting of a solution intended for inhalation use. The solution is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,
11102000,Nebuliser suspension,Liquid preparation consisting of a suspension intended for inhalation use. The suspension is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,
11103000,Powder for nebuliser suspension,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a nebuliser suspension.",
11104000,Powder for nebuliser solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a nebuliser solution.",
11105000,Nebuliser emulsion,Liquid preparation consisting of an emulsion intended for inhalation to obtain local effect or systemic delivery. The emulsion is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,
11106000,"Pressurised inhalation, solution","Liquid, usually multidose preparation consisting of a solution intended for inhalation use. The preparation is presented in a pressurised container usually fitted with a metering dose valve.",
11107000,"Pressurised inhalation, suspension","Liquid, usually multidose preparation consisting of a suspension intended for inhalation use. The preparation is presented in a pressurised container fitted with a metering dose valve.",
11108000,"Pressurised inhalation, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for inhalation use. The preparation is presented in a pressurised container fitted with a metering dose valve.",
11109000,Inhalation powder,"Solid, usually multidose preparation intended for inhalation use, consisting of one or more powders of solid active substance(s) to be administered by a dry-powder inhaler containing a metering dose mechanism within the inhaler. 'Inhalation powder, hard capsule' and 'Inhalation powder, pre-dispensed' are excluded.",
11110000,"Inhalation powder, hard capsule","Solid single-dose preparation intended for inhalation use, consisting of one or more powders of solid active substance(s) enclosed in a hard capsule. The capsule is loaded into a dry-powder inhaler to generate an aerosol.",
11111000,"Inhalation powder, pre-dispensed","Solid preparation intended for inhalation use, consisting of one or more powders of solid active substance(s) presented in a suitable pharmaceutical form other than a hard capsule, either in the form of a single dose or divided into multiple single doses. The preparation is loaded into a dry-powder inhaler to generate an aerosol.",
11112000,"Inhalation vapour, powder",Solid preparation consisting of one or more powders of solid active substance(s) intended for generation of vapour to be inhaled to obtain a local effect. The vapour is usually generated by adding the powder to hot water.,
11113000,"Inhalation vapour, capsule",Solid preparation consisting of a capsule formulation intended for generation of vapour to be inhaled to obtain a local effect. The vapour is usually generated by adding the whole capsule or the capsule contents to hot water.,
11114000,"Inhalation vapour, solution",Liquid preparation consisting of a solution intended for generation of vapour to be inhaled to obtain a local effect. The vapour is usually generated by adding the solution to hot water.,
11115000,"Inhalation vapour, tablet",Solid preparation consisting of a tablet intended for generation of vapour to be inhaled to obtain a local effect. The vapour is usually generated by adding the tablet to hot water.,
11116000,"Inhalation vapour, ointment",Semi-solid preparation consisting of an ointment intended for generation of vapour to be inhaled to obtain a local effect. The vapour may be generated by adding the ointment to hot water.,
11117000,"Inhalation vapour, liquid","Liquid preparation consisting of a liquid active substance per se, such as an essential oil or a volatile anaesthetic, intended for generation of vapour to be inhaled. The vapour may be generated by adding the liquid to hot water or by the use of a vaporising device.",
11118000,Inhalation gas,,Use discouraged.
11201000,Solution for injection,Liquid sterile single-dose or multidose preparation consisting of a solution intended for administration by injection.,"For infusions, see 'Solution for infusion'."
11202000,Suspension for injection,Liquid sterile single-dose or multidose preparation consisting of a suspension intended for administration by injection.,
11203000,Emulsion for injection,Liquid sterile single-dose or multidose preparation consisting of an emulsion intended for administration by injection.,"For infusions, see 'Emulsion for infusion'."
11204000,Gel for injection,Sterile single-dose preparation consisting of a hydrophilic gel intended for injection into a specific tissue or organ.,
11205000,Powder for solution for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a solution for injection.",
11206000,Powder for suspension for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a suspension for injection.",
11208400,Powder for prolonged-release suspension for injection,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a prolonged-release suspension for injection.",
11208500,Prolonged-release suspension for injection,Liquid sterile preparation consisting of a suspension intended for administration by injection; the active substance(s) are released over an extended period of time.,
11209000,Concentrate for solution for injection,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a solution for injection.,
11209500,Solution for cardioplegia,"Liquid sterile preparation consisting of an aqueous solution intended for use in inducing cardiac arrest during heart surgery. Some preparations may require mixing with other preparations prior to administration, for example to adjust the pH.",
11210000,Solution for infusion,"Liquid sterile preparation consisting of an aqueous solution intended to be introduced, usually in large volumes, usually into the circulating blood stream.",
11211000,Emulsion for infusion,"Liquid sterile preparation consisting of an oil-in-water emulsion intended to be introduced, usually in large volumes, usually into the circulating blood stream.",
11211500,Powder for dispersion for infusion,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a dispersion for infusion.",
11212000,Powder for solution for infusion,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified aqueous liquid to obtain a solution for infusion.",
11213000,Concentrate for solution for infusion,Liquid sterile preparation consisting of an aqueous solution intended to be diluted in the specified aqueous liquid to obtain a solution for infusion. It may be added to a solution for infusion during the administration.,
11215000,Lyophilisate for solution for infusion,Solid sterile preparation for veterinary use consisting of a freeze-dried powder intended to be dissolved in the specified liquid to obtain a solution for infusion.,
11216000,Solvent for parenteral use,"Liquid sterile preparation consisting of a solvent containing no active substances, intended for use in the preparation of a product for parenteral use.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Powder and solvent for solution for injection'. In such cases, see instead 'Solvent for...'."
11217000,Lyophilisate for solution for injection,Solid sterile preparation for veterinary use consisting of a freeze-dried powder intended to be dissolved in the specified liquid to obtain a solution for injection.,
11218000,Lyophilisate for suspension for injection,Solid sterile preparation for veterinary use consisting of a freeze-dried powder intended to be dispersed in the specified liquid to obtain a suspension for injection.,
11301000,Implant,"Solid sterile preparation of a size and shape suitable for implantation. It may be prepared by moulding or other means other than compression. Each implant is presented in a sterile container that may be provided with an administration device. Implants are intended for release over an extended period of time in order to obtain local or systemic effect. 'Implantation tablet', 'Implantation chain' and 'Implantation matrix' are excluded.",
11302000,Implantation tablet,"Solid sterile preparation prepared by compression of a solid active substance as such or of a formulation thereof into an implant of a size and shape suitable for implantation, usually subcutaneously. Each implantation tablet is presented in a sterile container. Implantation tablets are intended for release over an extended period of time in order to obtain local or systemic effect.",
11303000,Implantation chain,Solid sterile preparation consisting of small spheres mounted on a non-degradable thread to form a chain that allows withdrawal of the remainder of the chain after a certain period of action. Each implantation chain is presented in a sterile container. The implantation chain is intended for release over an extended period of time in order to obtain local or systemic effect.,
11303300,Implantation matrix,"Solid sterile preparation consisting of a usually pliable, absorbent piece of material (e.g. collagen), usually impregnated with a liquid preparation, intended for implantation in the body. The material may be cut into smaller pieces before implantation, and may be shaped around a tissue (e.g. a bone) or inserted into a medical device that is then implanted. Implantation matrices are intended for release over an extended period of time, usually in order to obtain a local effect. Usually the matrix disappears with time. When the product is packaged as a separate matrix, powder and solvent (or matrix and solution), which are used to prepare the implantation matrix immediately before use, the appropriate combined term should be used; see for example ‘Powder, solvent and matrix for implantation matrix’.",
11303500,Implantation suspension,Liquid sterile preparation consisting of a suspension intended for implantation in the body; the active substance(s) are released over an extended period of time to obtain a local or systemic effect.,
11303750,Kit for implant,,"Term rejected. The term 'kit' is restricted for use in the field of radiopharmaceuticals (see 'Kit for radiopharmaceutical preparation'). It is not to be used to describe combinations of manufactured items that are to be reconstituted to form an administrable pharmaceutical product, for which an appropriate combined term should be used instead."
11401000,Solution for peritoneal dialysis,"Liquid sterile preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma and glucose in varying concentrations or other suitable osmotic agents, intended for intraperitoneal use as a dialysis solution.",
11402000,Solution for haemofiltration,"Liquid sterile preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma, intended for parenteral use in haemofiltration. Glucose may be included.",
11403000,Solution for haemodiafiltration,"Liquid sterile preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma, intended for parenteral use in haemodiafiltration. Glucose may be included.",
11404000,Solution for haemodialysis,"Liquid preparation consisting of an aqueous solution containing electrolytes with a concentration close to the electrolytic composition of plasma, intended for use in haemodialysis. Glucose may be included.",
11405000,Concentrate for solution for haemodialysis,Liquid preparation consisting of an aqueous solution of electrolytes intended to be diluted with water of a suitable quality to obtain a solution for haemodialysis. Glucose may be included.,
11501000,Solution for intravesical use,,Use discouraged.
11502000,Bladder irrigation,Sterile liquid preparation consisting of sterilised water or an aqueous solution intended for irrigation of the urinary bladder.,
11502500,Intravesical solution,Liquid preparation consisting of an aqueous solution intended for intravesical use by means of a suitable applicator. 'Bladder irrigation' is excluded.,
11503000,Powder for bladder irrigation,"Solid sterile preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in sterile water to obtain a bladder irrigation.",
11504000,Urethral gel,Semi-solid preparation consisting of a gel intended for urethral use by means of a suitable applicator.,
11505000,Urethral stick,"Solid sterile single-dose preparation, usually rod-shaped and of a size adapted to the dimensions of the urethra, intended for insertion into the urethra. They may be prepared by compression or moulding.",
11601000,"Endotracheopulmonary instillation, solution",Liquid preparation consisting of an aqueous solution intended for instillation to the trachea and/or bronchi. Preparations for inhalation use are excluded.,
11602000,"Endotracheopulmonary instillation, powder for solution","Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain an endotracheopulmonary instillation solution.",
11603000,"Endotracheopulmonary instillation, suspension",Liquid preparation consisting of an aqueous suspension intended for instillation to the trachea and/or bronchi. Preparations for inhalation use are excluded.,
11701000,Endocervical gel,Semi-solid preparation consisting of a gel intended for endocervical use by means of a suitable applicator.,
11801000,Intramammary solution,Liquid sterile preparation for veterinary use consisting of a solution intended for intramammary use. Intramammary solutions are presented in intramammary syringes for use on one occasion only to introduce the solution into a single teat canal.,
11802000,Intramammary suspension,Liquid sterile preparation for veterinary use consisting of a suspension intended for intramammary use. Intramammary suspensions are presented in intramammary syringes for use on one occasion only to introduce the suspension into a single teat canal.,
11803000,Intramammary emulsion,Liquid sterile preparation for veterinary use consisting of an emulsion intended for intramammary use. Intramammary emulsions are presented in intramammary syringes for use on one occasion only to introduce the emulsion into a single teat canal.,
11804000,Intramammary ointment,Semi-solid sterile preparation for veterinary use consisting of an ointment containing dissolved or dispersed active substance(s) intended for intramammary use. Intramammary ointments are presented in intramammary syringes for use on one occasion only to introduce the ointment into a single teat canal.,
11805000,Teat stick,"Solid single-dose preparation for veterinary use, usually rod shaped, intended to be inserted into the teat canal of an animal where it melts or dissolves.",
11901000,Intrauterine delivery system,Solid single-dose delivery system intended for intrauterine use that releases its contents of active substance(s) over an extended period of time.,
11902000,Intrauterine solution,Liquid preparation for veterinary use consisting of a solution intended for intrauterine use.,
11903000,Intrauterine suspension,Liquid preparation for veterinary use consisting of a suspension intended for intrauterine use.,
11904000,Intrauterine emulsion,Liquid preparation for veterinary use consisting of an emulsion intended for intrauterine use.,
11905000,Intrauterine tablet,"Solid single-dose preparation for veterinary use prepared by compression or moulding into tablets of a size and shape suited for administration to the uterus, including preparations releasing their contents over an extended period of time.",
11906000,Intrauterine capsule,"Solid single-dose preparation for veterinary use consisting of a soft capsule containing a liquid or semi-solid preparation intended for intrauterine use, including preparations releasing their contents over an extended period of time.",
12001000,Bee-hive strip,Solid preparation for veterinary use consisting of a matrix impregnated with active substance(s) that are released by vaporisation or physical contact over an extended period of time. Any specific requirements for the placing of the bee-hive strip are described in the product information.,
12001500,Bee-hive gel,"Semi-solid multidose preparation intended for veterinary use, consisting of a gel from which the active substance(s) are released by vaporisation or physical contact over an extended period of time.",
12002000,Bee smoke paper,"Solid preparation for veterinary use consisting of an impregnated paper that, when lit, delivers smoke containing active substance(s).",
12003000,Bee smoke stick,"Solid preparation for veterinary use consisting of an impregnated stick that, when lit, delivers smoke containing active substance(s).",
12004000,Nebulisation solution,Liquid preparation for veterinary use consisting of a solution intended for conversion by nebulisers into an aerosol for mass medication. Products intended for the treatment of individual animals are excluded.,
12100500,Absorbable coated sponge,,Term rejected.
12101000,Denture lacquer,Liquid preparation to be applied to dentures to form a lacquer by evaporation of the volatile solvent.,
12102000,Anticoagulant and preservative solution for blood,Liquid sterile preparation consisting of an aqueous solution to be mixed with extracorporeal blood.,
12103000,Solution for blood fraction modification,Liquid sterile preparation consisting of a solution intended for use in extracorporeal modification of a blood fraction that is returned to the patient following modification.,
12104000,Wound stick,"Solid sterile single-dose preparation, usually rod-shaped or conical, consisting of active substance(s) dissolved or dispersed in a suitable basis that may dissolve or melt at body temperature, intended to be inserted into wounds.",
12105000,Radiopharmaceutical precursor,A radionuclide produced for the radio-labelling of another substance prior to administration.,
