code,term,definition,comment,status,domain,modification_date,creation_date
10522000,Poultice,"Semi-solid preparation consisting of a hydrophilic heat-retentive basis in which solid or liquid active substance(s) are dispersed, usually intended to be spread thickly on a suitable dressing and heated before application to the skin.",,Current,Human and Veterinary,2016-03-30 10:28:36,2006-03-14 00:00:00
10523000,Cutaneous stick,"Solid preparation, usually rod-shaped or conical, intended for application to the skin to obtain a local effect. Cutaneous sticks may consist of the active substance(s) alone or dissolved or dispersed in a suitable basis.",,Current,Human and Veterinary,2017-02-15 10:10:37,2006-03-14 00:00:00
10524000,Cutaneous sponge,,Use discouraged.,Deprecated,Human and Veterinary,2014-09-04 12:52:31,2006-03-14 00:00:00
10525000,Impregnated dressing,Solid preparation consisting of a piece or strip of gauze or other suitable fabric impregnated with a liquid or semi-solid preparation intended for cutaneous use.,,Current,Human and Veterinary,2016-03-30 11:38:43,2006-03-14 00:00:00
10526000,Collar,,Use discouraged.,Deprecated,Veterinary only,2014-09-04 12:33:17,2006-03-14 00:00:00
10526500,Medicated collar,"Solid preparation for veterinary use consisting of a matrix impregnated with active substance(s), which is worn around the animal's neck. The active substance(s) are released by diffusion, by mechanical means or by vaporisation over a period of time.",,Current,Veterinary only,2016-03-30 11:44:45,2011-07-04 10:05:20
10527000,Medicated pendant,"Solid preparation for veterinary use consisting of a matrix impregnated with active substance(s), which is fixed to a device to be worn around the animal's neck. The active substance(s) are released by diffusion, by mechanical means or by vaporisation over a period of time.",,Current,Veterinary only,2016-03-30 11:46:06,2006-03-14 00:00:00
10528000,Ear tag,"Solid preparation consisting of a matrix impregnated with active substance(s), which is fixed to a device to be tagged on the animal's ear. The active substance(s) are released by diffusion, by mechanical means or by vaporisation over a period of time.",,Current,Veterinary only,2016-03-30 11:36:45,2006-03-14 00:00:00
10529000,Dip solution,Liquid preparation consisting of a solution intended for veterinary use by dipping.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10530000,Dip suspension,Liquid preparation consisting of a suspension intended for veterinary use by dipping.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10531000,Dip emulsion,Liquid preparation consisting of an emulsion intended for veterinary use by dipping.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10532000,Concentrate for dip solution,Liquid preparation intended to be diluted in the specified liquid to obtain a dip solution.,,Current,Veterinary only,2016-03-30 03:54:16,2006-03-14 00:00:00
10533000,Concentrate for dip suspension,Liquid preparation intended to be diluted in the specified liquid to obtain a dip suspension.,,Current,Veterinary only,2016-03-30 03:55:25,2006-03-14 00:00:00
10534000,Concentrate for dip emulsion,Liquid preparation intended to be diluted in the specified liquid to obtain a dip emulsion.,,Current,Veterinary only,2016-03-30 03:53:25,2006-03-14 00:00:00
10534500,Powder for dip solution,"Solid preparation for veterinary use consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a dip solution.",,Current,Veterinary only,2016-03-30 18:34:30,2006-03-14 00:00:00
10535000,Concentrate for solution for fish treatment,Liquid preparation intended to be diluted in the specified liquid to obtain a solution for fish treatment by immersion.,,Current,Veterinary only,2016-03-30 04:10:39,2006-03-14 00:00:00
10536000,Powder for suspension for fish treatment,"Solid preparation for veterinary use consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a suspension for fish treatment by immersion.",,Current,Veterinary only,2016-03-30 18:54:23,2006-03-14 00:00:00
10537000,Pour-on solution,Liquid preparation consisting of a solution intended for pour-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Pour-on solutions are applied in volumes that are usually greater than 5 mL.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10538000,Pour-on suspension,Liquid preparation consisting of a suspension intended for pour-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Pour-on suspensions are applied in volumes that are usually greater than 5 mL.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10539000,Pour-on emulsion,Liquid preparation consisting of an emulsion intended for pour-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Pour-on emulsions are applied in volumes that are usually greater than 5 mL.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10539250,Scalp solution,,Term rejected. 'Cutaneous use' includes application to the scalp.,Rejected,Human and Veterinary,2014-09-04 13:00:21,2011-12-02 11:16:57
10539500,Scrub,,Term rejected. Disinfectant solutions such as used those used for scrubbing the skin are considered to be cutaneous solutions.,Rejected,Human and Veterinary,2014-09-04 13:01:33,2009-07-07 16:22:50
10540000,Spot-on solution,Liquid preparation consisting of a solution intended for spot-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Spot-on-solutions are applied in volumes that are usually less than 10 mL.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10541000,Spot-on suspension,Liquid preparation consisting of a suspension intended for spot-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Spot-on-suspensions are applied in volumes that are usually less than 10 mL.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10542000,Spot-on emulsion,Liquid preparation consisting of an emulsion intended for spot-on use for the prevention and treatment of ectoparasitic and/or endoparasitic infestations of animals. Spot-on-emulsions are applied in volumes that are usually less than 10 mL.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
10543000,Teat dip solution,"Liquid preparation consisting of a solution intended for teat use. The teats of an animal are dipped pre- and, where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",,Current,Veterinary only,2016-03-30 07:10:22,2006-03-14 00:00:00
10544000,Teat dip suspension,"Liquid preparation consisting of a suspension intended for teat use. The teats of an animal are dipped pre- and, where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",,Current,Veterinary only,2016-03-30 09:08:06,2006-03-14 00:00:00
10545000,Teat dip emulsion,"Liquid preparation consisting of an emulsion intended for teat use. The teats of an animal are dipped pre- and, where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",,Current,Veterinary only,2016-03-30 04:45:48,2006-03-14 00:00:00
10546000,Teat spray solution,"Liquid preparation consisting of a solution intended to be sprayed onto the teats of an animal pre-, and where necessary, post-milking to reduce the population of pathogenic micro-organisms on the surfaces.",,Current,Veterinary only,2016-03-30 07:11:45,2006-03-14 00:00:00
10546250,Transdermal gel,"Semi-solid single-dose or multidose preparation consisting of a single-phase basis of liquids gelled by a suitable gelling agent. Active substance(s) is (are) dissolved or dispersed in the basis, which may be hydrophilic or hydrophobic. Transdermal gels are intended for transdermal use.",,Current,Human and Veterinary,2010-09-02 17:45:53,2010-09-02 17:45:53
10546400,Transdermal solution,"Liquid single-dose or multidose preparation consisting of a solution intended for transdermal use. The term 'Transdermal solution' is used only when more-specific terms such as 'Pour-on solution', 'Solution for iontophoresis', 'Spot-on solution' and 'Transdermal spray, solution' do not apply.",,Current,Human and Veterinary,2016-03-30 07:13:40,2011-11-29 13:32:55
10546500,"Transdermal spray, solution","Liquid, usually multidose preparation consisting of a solution in a pressurised container with a spray valve or a container equipped with a spray pump, intended for transdermal use.",,Current,Human and Veterinary,2016-03-30 07:14:42,2010-07-21 09:09:06
10547000,Transdermal system,"Assembly of components intended for transdermal delivery driven by external forces (e.g. electric current, chemical reaction,...). Transdermal patch is excluded.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10548000,Solution for skin-prick test,Liquid sterile preparation consisting of a solution containing an allergen product intended for diagnostic use in a skin-prick test.,,Current,Human and Veterinary,2016-03-30 06:39:36,2006-03-14 00:00:00
10549000,Solution for skin-scratch test,Liquid sterile preparation consisting of a solution containing an allergen product intended for diagnostic use in a skin-scratch test.,,Current,Human and Veterinary,2016-03-30 06:40:26,2006-03-14 00:00:00
10550000,Plaster for provocation test,Solid flexible preparation containing an allergen product intended for provocation testing by application to the skin.,,Current,Human and Veterinary,2016-03-30 17:33:50,2006-03-14 00:00:00
10600500,Concentrate for solution for intraocular irrigation,Liquid sterile preparation intended to be diluted in the specified liquid to obtain a solution for intraocular irrigation.,,Current,Human and Veterinary,2014-05-13 10:59:49,2014-05-13 10:59:49
10601000,Eye cream,Semi-solid sterile single-dose or multidose preparation consisting of a cream intended for ocular use. Eye creams may be presented in collapsible tubes fitted with a cannula and having a content of not more than 5 g of the preparation. Eye creams may also be presented in suitably designed single-dose containers. The containers or nozzles of tubes are of a shape that facilitates administration without contamination.,,Current,Human and Veterinary,2016-03-30 09:12:50,2006-03-14 00:00:00
10602000,Eye gel,Semi-solid sterile single-dose or multidose preparation consisting of a gel intended for ocular use. Eye gels may be presented in collapsible tubes fitted with a cannula and having a content of not more than 5 g of the preparation. Eye gels may also be presented in suitably designed single-dose containers. The containers or nozzles of tubes are of a shape that facilitates administration without contamination.,,Current,Human and Veterinary,2016-03-30 09:50:28,2006-03-14 00:00:00
10603000,Eye ointment,Semi-solid sterile single-dose or multidose preparation consisting of an ointment intended for ocular use. Eye ointments may be presented in collapsible tubes fitted with a cannula and having a content of not more than 5 g of the preparation. Eye ointments may also be presented in suitably designed single-dose containers. The containers or nozzles of tubes are of a shape that facilitates administration without contamination.,,Current,Human and Veterinary,2016-03-30 10:20:35,2006-03-14 00:00:00
10604000,"Eye drops, solution",Liquid sterile single-dose or multidose preparation consisting of an aqueous or oily solution intended for ocular use. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,,Current,Human and Veterinary,2016-03-30 05:08:41,2006-03-14 00:00:00
10604500,"Eye drops, emulsion",Liquid sterile single-dose or multidose preparation consisting of an emulsion intended for ocular use. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,,Current,Human and Veterinary,2016-03-30 04:32:41,2006-03-14 00:00:00
10605000,"Eye drops, suspension",Liquid sterile single-dose or multidose preparation consisting of an aqueous or oily suspension intended for ocular use. Multidose preparations are presented in containers that allow successive drops to be administered. The containers contain usually at most 10 mL of the preparation.,,Current,Human and Veterinary,2016-03-30 08:35:09,2006-03-14 00:00:00
10608000,"Eye drops, solvent for reconstitution","Liquid preparation consisting of a sterile solvent containing no active substances, intended for reconstitution of a usually freeze-dried powder for eye drops.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Eye drops, powder and solvent for solution'. In such cases, see instead 'Solvent for...'.",Current,Human and Veterinary,2016-03-30 07:18:50,2006-03-14 00:00:00
10609000,"Eye drops, prolonged-release",Liquid sterile single-dose or multidose preparation intended for ocular use. The active substance is released over an extended period of time.,,Deprecated,Human and Veterinary,2022-08-12 07:17:43,2006-03-14 00:00:00
10610000,Eye lotion,Liquid sterile single-dose or multidose preparation consisting of an aqueous solution intended for washing or bathing the eye.,,Current,Human and Veterinary,2016-03-30 05:10:40,2006-03-14 00:00:00
10611000,"Eye lotion, solvent for reconstitution","Liquid preparation consisting of a sterile solvent containing no active substances, intended for reconstitution of a usually freeze-dried powder for eye lotion.","This term is only for use when describing a product that is authorised/marketed individually, and not to describe a manufactured item that is part of a product such as 'Powder and solvent for eye lotion'. In such cases, see instead 'Solvent for...'.",Current,Human and Veterinary,2016-03-30 07:20:25,2006-03-14 00:00:00
10612000,Ophthalmic insert,"Solid sterile preparation of suitable size and shape, designed to be inserted in the conjunctival sac to produce a local or ocular effect by the release of active substance(s) over a determined period of time. Ophthalmic inserts generally consist of a reservoir of active substance(s) embedded in a matrix or bounded by a rate-controlling membrane. They are presented individually in sterile containers.",,Current,Human and Veterinary,2016-03-30 11:54:12,2006-03-14 00:00:00
10613000,Ophthalmic strip,Solid sterile single-dose preparation consisting of a strip made of a suitable material usually impregnated with active substance(s) intended for use on the eyeball.,,Current,Human and Veterinary,2016-03-30 11:50:36,2006-03-14 00:00:00
10701000,Ear cream,"Semi-solid single-dose or multidose preparation consisting of a cream intended for application to the external auditory meatus, if necessary by means of a tampon impregnated with the preparation.",,Current,Human and Veterinary,2016-03-30 09:11:35,2006-03-14 00:00:00
10702000,Ear gel,"Semi-solid single-dose or multidose preparation consisting of a gel intended for application to the external auditory meatus, if necessary by means of a tampon impregnated with the preparation.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10703000,Ear ointment,"Semi-solid single-dose or multidose preparation consisting of an ointment intended for application to the external auditory meatus, if necessary by means of a tampon impregnated with the preparation.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10704000,"Ear drops, solution","Liquid single-dose or multidose preparation consisting of an aqueous or oily solution intended for application to the external auditory meatus. Multidose containers may be dropper containers or containers provided with a dropper applicator, or the dropper may be supplied separately. Drops are not necessarily administered dropwise, but may also be administered as a small volume.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10705000,"Ear drops, suspension","Liquid single-dose or multidose preparation consisting of an aqueous or oily suspension intended for application to the external auditory meatus. Multidose containers may be dropper containers or containers provided with a dropper applicator, or the dropper may be supplied separately. Drops are not necessarily administered dropwise, but may also be administered as a small volume.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10706000,"Ear drops, emulsion","Liquid single-dose or multidose preparation consisting of an emulsion intended for application to the external auditory meatus. Multidose containers may be dropper containers or containers provided with a dropper applicator, or the dropper may be supplied separately. Drops are not necessarily administered dropwise, but may also be administered as a small volume.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10708000,Ear powder,"Solid, usually multidose preparation consisting of one or more powders consisting of (a) solid active substance(s) intended for application to the external auditory meatus. Ear powders are presented in containers fitted with a suitable applicator or device for insufflation.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10709000,"Ear spray, solution","Liquid, usually multidose preparation consisting of a solution intended for application to the external auditory meatus by spraying to obtain a local effect. Ear sprays are presented in containers with a spray pump or in pressurised containers fitted with a spray valve.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10710000,"Ear spray, suspension","Liquid, usually multidose preparation consisting of a suspension intended for application to the external auditory meatus by spraying to obtain a local effect. Ear sprays are presented in containers with a spray pump or in pressurised containers fitted with a spray valve.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10711000,"Ear spray, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for application to the external auditory meatus by spraying to obtain local effect. Ear sprays are presented in containers with a spray pump or in pressurised containers fitted with a spray valve.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10712000,"Ear wash, solution",Liquid single-dose or multidose preparation consisting usually of an aqueous solution with a pH within physiological limits. Ear washes are intended to clean the external auditory meatus.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10713000,"Ear wash, emulsion",Liquid single-dose or multidose preparation consisting usually of an oil-in-water emulsion with a pH within physiological limits. Ear washes are intended to clean the external auditory meatus.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10714000,Ear tampon,"Solid single-dose preparation intended to be inserted into the external auditory meatus for a limited period of time, consisting of a suitable material impregnated with active substance(s).",,Current,Human and Veterinary,2016-03-30 11:37:49,2006-03-14 00:00:00
10715000,Ear stick,Solid single-dose preparation of usually conical shape intended to be inserted in the external auditory meatus where it melts or dissolves.,,Current,Human and Veterinary,2016-03-30 19:04:33,2006-03-14 00:00:00
10801000,Nasal cream,"Semi-solid single-dose or multidose preparation consisting of a cream, usually of oil-in-water type, intended for nasal use, usually to obtain a local effect. Nasal creams are usually presented in tubes fitted with a nasal applicator.",,Current,Human and Veterinary,2019-02-05 14:13:12,2006-03-14 00:00:00
10802000,Nasal gel,"Semi-solid single-dose or multidose preparation consisting of usually a hydrophilic gel, intended for nasal use, usually to obtain a local effect. Nasal gels are usually presented in tubes fitted with a nasal applicator.",,Current,Human and Veterinary,2019-02-05 14:15:29,2006-03-14 00:00:00
10803000,Nasal ointment,"Semi-solid single-dose or multidose preparation consisting of an ointment, intended for nasal use, usually to obtain a local effect. Nasal ointments are usually presented in tubes fitted with a nasal applicator.",,Current,Human and Veterinary,2019-02-05 14:16:32,2006-03-14 00:00:00
10804000,"Nasal drops, solution",Liquid single-dose or multidose preparation consisting of a solution intended for nasal use by means of a suitable applicator.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10805000,"Nasal drops, suspension",Liquid single-dose or multidose preparation consisting of a suspension intended for nasal use by means of a suitable applicator.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10806000,"Nasal drops, emulsion",Liquid single-dose or multidose preparation consisting of an emulsion intended for nasal use by means of a suitable applicator.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10807000,Nasal powder,"Solid, usually multidose preparation consisting of one or more powders of solid active substance(s) intended for nasal use by insufflation into the nasal cavity.",,Current,Human and Veterinary,2016-03-30 17:43:57,2006-03-14 00:00:00
10808000,"Nasal spray, solution","Liquid single-dose or multidose preparation consisting of a solution in a container with or without a metering dose valve or in a container with a spray pump or equivalent device to create a spray, intended for nasal use.",,Current,Human and Veterinary,2017-04-05 08:43:27,2006-03-14 00:00:00
10809000,"Nasal spray, suspension","Liquid single-dose or multidose preparation consisting of a suspension in a container with or without a metering dose valve or in a container with a spray pump or equivalent device to create a spray, intended for nasal use.",,Current,Human and Veterinary,2017-04-05 08:40:48,2006-03-14 00:00:00
10810000,"Nasal spray, emulsion","Liquid single-dose or multidose preparation consisting of an emulsion in a container with or without a metering dose valve or in a container with a spray pump or equivalent device to create a spray, intended for nasal use.",,Current,Human and Veterinary,2017-04-05 08:42:23,2006-03-14 00:00:00
10811000,Nasal wash,Liquid single-dose or multidose preparation consisting of usually an aqueous isotonic solution intended for cleansing the nasal cavities.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10812000,Nasal stick,"Solid single-dose preparation, usually rod-shaped or conical, intended for nasal use, usually to obtain a local effect.",,Current,Human and Veterinary,2019-02-05 14:17:22,2006-03-14 00:00:00
10900500,Intravaginal ring,,Term rejected.,Rejected,Human and Veterinary,2014-09-04 14:53:58,2009-07-07 15:27:48
10901000,Vaginal cream,"Semi-solid preparation consisting of a cream usually presented in a single-dose container provided with a suitable applicator, intended for vaginal use to obtain a local effect.",,Current,Human and Veterinary,2016-03-30 09:14:52,2006-03-14 00:00:00
10902000,Vaginal gel,"Semi-solid preparation consisting of a gel usually presented in a single-dose container provided with a suitable applicator, intended for vaginal use to obtain a local effect.",,Current,Human and Veterinary,2016-03-30 10:15:56,2006-03-14 00:00:00
10903000,Vaginal ointment,"Semi-solid preparation consisting of an ointment usually presented in a single-dose container provided with a suitable applicator, intended for vaginal use to obtain a local effect.",,Current,Human and Veterinary,2016-03-30 10:24:31,2006-03-14 00:00:00
10904000,Vaginal foam,"Liquid preparation, usually presented in a pressurised container provided with an applicator suitable for delivery to the vagina of foam containing large volumes of gas dispersed in a liquid containing active substance(s). Vaginal foams are intended for vaginal use, for example for contraception.",,Current,Human and Veterinary,2016-06-29 11:51:13,2006-03-14 00:00:00
10905000,Vaginal solution,Liquid preparation consisting of a solution intended for vaginal use by means of a suitable applicator in order to obtain a local effect.,,Current,Human and Veterinary,2016-06-29 11:56:13,2006-03-14 00:00:00
10906000,Vaginal suspension,Liquid preparation consisting of a suspension intended for vaginal use by means of a suitable applicator in order to obtain a local effect.,,Current,Human and Veterinary,2016-06-29 11:56:56,2006-03-14 00:00:00
10907000,Vaginal emulsion,Liquid preparation consisting of an emulsion intended for vaginal use by means of a suitable applicator in order to obtain a local effect.,,Current,Human and Veterinary,2016-06-29 11:55:23,2006-03-14 00:00:00
10908000,Tablet for vaginal solution,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid to obtain a vaginal solution.",,Current,Human and Veterinary,2016-06-29 11:59:52,2006-03-14 00:00:00
10909000,Pessary,"Solid, single-dose preparation usually prepared by moulding, of various shapes, usually ovoid, with a volume and consistency suitable for insertion into the vagina to obtain a local effect. It contains one or more active substances dispersed or dissolved in a suitable basis that may be soluble or dispersible in water or may melt at body temperature.",,Current,Human and Veterinary,2016-03-30 17:31:34,2006-03-14 00:00:00
10910000,"Vaginal capsule, hard","Solid single-dose preparation consisting of a hard capsule of a size and shape suited for vaginal use, containing a liquid or semi-solid formulation, intended for a local effect.",,Current,Human and Veterinary,2016-03-30 10:56:00,2006-03-14 00:00:00
10911000,"Vaginal capsule, soft","Solid single-dose preparation consisting of a soft capsule of a size and shape suited for vaginal use, containing a liquid or semi-solid formulation, intended for a local effect.",,Current,Human and Veterinary,2016-03-30 10:57:02,2006-03-14 00:00:00
10912000,Vaginal tablet,"Solid single-dose preparation consisting of a tablet, usually uncoated or film-coated, intended for administration to the vagina to obtain a local effect. Vaginal tablets are usually of larger size and a different shape from tablets intended for oral administration.",,Current,Human and Veterinary,2016-03-30 19:33:56,2006-03-14 00:00:00
10913000,Effervescent vaginal tablet,Solid single-dose preparation consisting of a vaginal tablet usually containing acid substances and carbonates or hydrogen carbonates that react rapidly in the presence of aqueous liquid to release carbon dioxide.,,Current,Human and Veterinary,2016-03-30 19:19:14,2006-03-14 00:00:00
10914000,Medicated vaginal tampon,Solid single-dose preparation consisting of a suitable material impregnated with active substance(s) intended to be inserted in the vagina for a limited period of time.,,Current,Human and Veterinary,2016-03-30 11:49:40,2006-03-14 00:00:00
10915000,Vaginal delivery system,Drug delivery system intended to be inserted in the vagina where it releases its contents over an extended period of time. Medicated sponge and medicated vaginal tampon are excluded.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10916000,Vaginal sponge,,Use discouraged.,Deprecated,Veterinary only,2014-09-04 14:54:47,2006-03-14 00:00:00
11001000,Rectal cream,"Semi-solid preparation consisting of a cream usually presented in a single-dose container provided with a suitable applicator, intended for rectal use to obtain a local effect.",,Current,Human and Veterinary,2016-03-30 09:13:52,2006-03-14 00:00:00
11002000,Rectal gel,"Semi-solid preparation consisting of a gel usually presented in a single-dose container provided with a suitable applicator, intended for rectal use to obtain a local effect.",,Current,Human and Veterinary,2016-03-30 10:13:58,2006-03-14 00:00:00
11003000,Rectal ointment,"Semi-solid preparation consisting of an ointment usually presented in a single-dose container provided with a suitable applicator, intended for rectal use to obtain a local effect.",,Current,Human and Veterinary,2016-03-30 10:23:35,2006-03-14 00:00:00
11004000,Rectal foam,"Liquid preparation, usually presented in a pressurised container provided with an applicator suitable for delivery to the rectum of foam containing large volumes of gas dispersed in a liquid containing the active substance. Rectal foams are intended for a local effect.",,Current,Human and Veterinary,2016-06-29 11:46:55,2006-03-14 00:00:00
11005000,Rectal solution,Liquid preparation consisting of a solution intended for rectal use or for diagnostic purposes. Rectal solutions are usually presented in containers with a volume in the range of 2.5 mL to 2000 mL. The container is fitted with an applicator or an applicator is provided separately.,,Current,Human and Veterinary,2016-06-29 11:53:45,2006-03-14 00:00:00
11006000,Rectal suspension,Liquid preparation consisting of a suspension intended for rectal use or for diagnostic purposes. Rectal suspension are usually presented in containers with a volume in the range of 2.5 mL to 2000 mL. The container is fitted with an applicator or an applicator is provided separately.,,Current,Human and Veterinary,2016-06-29 11:54:30,2006-03-14 00:00:00
11007000,Rectal emulsion,Liquid preparation consisting of an emulsion intended for rectal use or for diagnostic purposes. Rectal emulsions are usually presented in containers with a volume in the range of 2.5 mL to 2000 mL. The container is fitted with an applicator or an applicator is provided separately.,,Current,Human and Veterinary,2016-06-29 11:52:44,2006-03-14 00:00:00
11008000,Concentrate for rectal solution,Liquid preparation intended to be diluted in the specified liquid to obtain a rectal solution.,,Current,Human and Veterinary,2016-03-30 04:08:53,2006-03-14 00:00:00
11009000,Powder for rectal solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a rectal solution.",,Current,Human and Veterinary,2016-03-30 18:46:24,2006-03-14 00:00:00
11010000,Powder for rectal suspension,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a rectal suspension.",,Current,Human and Veterinary,2016-03-30 18:47:19,2006-03-14 00:00:00
11011000,Tablet for rectal solution,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid to obtain a rectal solution.",,Current,Human and Veterinary,2016-06-29 11:58:12,2006-03-14 00:00:00
11012000,Tablet for rectal suspension,"Solid, usually single-dose preparation consisting of a tablet, usually uncoated, intended to be dispersed in the specified liquid to obtain a rectal suspension.",,Current,Human and Veterinary,2016-06-29 11:59:09,2006-03-14 00:00:00
11013000,Suppository,"Solid single-dose preparation of a shape, size and consistency suitable for rectal use, containing active substance(s) dispersed or dissolved in a suitable basis that may be soluble or dispersible in water or may melt at body temperature.",,Current,Human and Veterinary,2016-03-30 19:16:18,2006-03-14 00:00:00
11014000,Rectal capsule,"Solid single-dose preparation consisting of a soft capsule of elongated shape suitable for rectal use, containing a liquid or semi-solid formulation, and which may have a lubricating coating.",,Current,Human and Veterinary,2016-03-30 10:51:36,2006-03-14 00:00:00
11015000,Rectal tampon,Solid single-dose preparation consisting of a suitable material impregnated with active substance(s) intended to be inserted in the rectum for a limited period of time usually for a local effect.,,Current,Human and Veterinary,2016-03-30 11:51:59,2006-03-14 00:00:00
11100500,Aerosol,,"Term rejected. This is a very broad term that can apply to any dispersion of solid or liquid particles in air, and is inappropriate as a Standard Term to describe a pharmaceutical product. Where the intention is to refer to a pressurised preparation for inhalation presented in a metered-dose inhaler, use the appropriate existing term such as 'Pressurised inhalation, emulsion', 'Pressurised inhalation, solution' or 'Pressurised inhalation, suspension'.",Rejected,Human and Veterinary,2014-09-04 14:44:44,2013-01-29 09:33:47
11101000,Nebuliser solution,Liquid preparation consisting of a solution intended for inhalation use. The solution is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
11102000,Nebuliser suspension,Liquid preparation consisting of a suspension intended for inhalation use. The suspension is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
11103000,Powder for nebuliser suspension,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dispersed in the specified liquid to obtain a nebuliser suspension.",,Current,Human and Veterinary,2016-03-30 18:41:41,2006-03-14 00:00:00
11104000,Powder for nebuliser solution,"Solid preparation consisting of one or more powders, including freeze-dried powders, intended to be dissolved in the specified liquid to obtain a nebuliser solution.",,Current,Human and Veterinary,2016-03-30 18:40:38,2006-03-14 00:00:00
11105000,Nebuliser emulsion,Liquid preparation consisting of an emulsion intended for inhalation to obtain local effect or systemic delivery. The emulsion is converted into an aerosol by a continuously operating nebuliser or a metered-dose nebuliser.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
11106000,"Pressurised inhalation, solution","Liquid, usually multidose preparation consisting of a solution intended for inhalation use. The preparation is presented in a pressurised container usually fitted with a metering dose valve.",,Current,Human and Veterinary,2014-12-03 14:49:29,2006-03-14 00:00:00
11107000,"Pressurised inhalation, suspension","Liquid, usually multidose preparation consisting of a suspension intended for inhalation use. The preparation is presented in a pressurised container fitted with a metering dose valve.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
11108000,"Pressurised inhalation, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for inhalation use. The preparation is presented in a pressurised container fitted with a metering dose valve.",,Current,Human and Veterinary,2018-08-09 15:08:38,2006-03-14 00:00:00
